4	25.0
5	31.815584415584418
6	32.89487179487181
7	30.87912087912089
8	31.011904761904763
9	33.098765432098766
10	32.58510638297872
11	32.441558441558435
12	30.626190476190477
13	30.94871794871795
14	28.19548872180451
15	33.007407407407406
16	28.43125
17	31.84873949554622
18	33.98989898989898
19	35.31578947368421
20	30.133333333333336
21	29.80357142857143
22	29.4469696969697
23	33.78260869565217
24	23.166666666666668
25	37.87
26	36.442307692307686
27	33.592592592592595
28	29.642857142857146
29	28.29310344827586
31	37.193548387096776
32	34.96875
36	26.36111111111111
37	21.027027027027028
40	46.675
41	20.585365853658537
42	38.73809523809524
44	20.204545454545453
47	33.68085106382979
48	33.4375
50	33.13272727272727
