flagstone	6	26.166666666666668
flask	26	50.84615384615385
floor	21	20.142857142857142
flowerpot	6	43.666666666666664
flute	5	25.6
flyswatter	6	28.5
flytrap	7	22.857142857142858
folder	10	25.6
footboard	14	27.0
footlocker	50	31.92
footplate	18	41.77777777777778
footrest	6	32.333333333333336
footstool	6	28.833333333333332
forceps	6	29.5
fork	6	38.333333333333336
futon	6	39.833333333333336
gargoyle	10	39.5
garter	12	26.833333333333332
gauze	9	35.888888888888886
gavel	6	39.5
glasses	6	34.166666666666664
goalpost	6	31.0
goblet	50	36.54
goggles	6	33.333333333333336
gondola	18	35.666666666666664
gown	18	33.5
grater	6	45.0
grout	6	28.833333333333332
guitar	5	32.2
gunnysack	6	42.333333333333336
gurney	50	32.1
hacksaw	11	41.54545454545455
hairbrush	6	27.0
hairnet	6	37.5
hairpiece	13	43.0
hairpin	6	25.333333333333332
handbag	6	35.666666666666664
handcart	6	34.5
handlebar	5	25.6
handsaw	6	25.833333333333332
hanky	9	23.444444444444443
harmonica	5	34.2
harp	9	33.888888888888886
harpoon	5	36.6
harpsichord	10	26.9
hatbox	10	37.2
hatchet	11	31.181818181818183
headband	6	31.166666666666668
headdress	6	30.333333333333332
helmet	6	38.0
highchair	6	36.166666666666664
highlighter	11	25.90909090909091
hinge	6	45.833333333333336
hoe	6	33.5
holster	6	31.0
hoopskirt	14	32.42857142857143
horn	6	38.166666666666664
horseshoe	6	33.5
hose	6	24.5
hourglass	10	38.9
housecoat	8	38.0
housetop	50	35.98
hubcap	6	25.333333333333332
icebox	5	31.6
icepick	10	35.0
inkwell	14	27.357142857142858
jacket	5	44.2
jar	12	23.416666666666668
jewel	6	31.5
jigsaw	6	31.666666666666668
jug	6	44.833333333333336
jumpsuit	9	33.55555555555556
kayak	6	29.5
kazoo	15	29.533333333333335
kerchief	50	26.84
kettle	11	31.545454545454547
kettledrum	11	24.09090909090909
key	6	36.5
keyhole	9	32.77777777777778
kilt	37	21.405405405405407
knapsack	6	35.0
knickers	50	57.86
knife	6	33.833333333333336
knuckles	50	27.38
lace	50	38.18
lantern	6	27.5
lapel	14	25.714285714285715
latch	13	29.846153846153847
leash	6	27.0
lens	6	28.333333333333332
leotard	12	25.0
lever	6	41.666666666666664
linen	19	26.526315789473685
linoleum	6	39.666666666666664
lipstick	10	37.8
locket	10	16.4
loincloth	18	36.22222222222222
longboat	50	25.32
longbow	25	44.08
lotion	8	21.5
loveseat	16	43.875
lumber	50	24.54
magazine	12	39.166666666666664
mailbag	6	38.5
mailbox	7	30.0
mainsail	6	48.0
mallet	10	31.1
mandolin	15	32.333333333333336
manger	7	29.714285714285715
map	6	27.333333333333332
marionette	6	31.166666666666668
mascara	11	32.81818181818182
mask	6	36.0
mast	7	25.714285714285715
mat	7	34.142857142857146
matchbook	26	61.34615384615385
matchbox	6	14.666666666666666
mattress	6	27.333333333333332
maypole	8	33.375
microscope	6	36.666666666666664
miniskirt	50	23.54
mirror	6	37.0
mitten	5	26.0
moat	8	30.25
moccasin	22	18.772727272727273
moneybag	12	48.083333333333336
mop	6	40.333333333333336
mound	9	30.22222222222222
mousetrap	6	28.833333333333332
muffler	6	28.833333333333332
mulch	5	32.0
mural	9	37.22222222222222
muzzle	10	44.2
napkin	6	22.5
neckband	6	25.666666666666668
neckerchief	50	31.08
necklace	10	25.5
necktie	15	32.06666666666667
net	6	30.833333333333332
newspaper	12	28.75
nightdress	50	25.98
nightgown	17	26.470588235294116
nightshirt	17	51.8235294117647
nightstick	6	34.0
noose	6	34.0
notebook	6	25.333333333333332
nozzle	11	40.72727272727273
nutcracker	6	41.333333333333336
oar	6	53.166666666666664
oilcan	6	37.833333333333336
overcoat	14	18.785714285714285
paddle	6	23.833333333333332
pail	10	39.4
paintball	10	36.5
paintbox	6	38.833333333333336
paintbrush	7	26.714285714285715
painting	5	35.6
pajama	8	22.0
pamphlet	14	23.428571428571427
pan	6	27.666666666666668
pants	6	20.666666666666668
pantsuit	6	30.333333333333332
pantyhose	9	22.88888888888889
paperback	7	16.0
paperclip	15	33.53333333333333
paperweight	6	15.833333333333334
parachute	6	38.0
parcel	50	29.26
parka	10	21.9
patch	6	29.0
pavement	50	48.02
peephole	6	34.5
pegboard	5	37.2
pen	5	31.6
pencil	9	22.666666666666668
pendant	29	34.241379310344826
pendulum	6	52.5
periscope	6	52.333333333333336
petticoat	5	32.6
photograph	6	40.333333333333336
piano	5	32.4
pickaxe	10	40.5
picture	12	30.5
pill	6	36.166666666666664
pillbox	6	35.166666666666664
pillow	6	39.5
pillowcase	13	22.923076923076923
pin	6	41.166666666666664
pincushion	6	28.166666666666668
pinstripe	11	38.0
pitchfork	6	37.833333333333336
plank	8	44.25
plaster	11	32.27272727272727
platter	50	27.52
playhouse	8	42.875
pliers	11	30.363636363636363
pocket	5	29.4
pocketknife	8	37.375
podium	6	40.0
pole	9	45.333333333333336
poncho	12	50.083333333333336
pontoon	18	38.22222222222222
pool	6	37.5
popgun	11	38.81818181818182
porcelain	12	31.333333333333332
pot	22	18.954545454545453
pottery	50	24.64
pouch	7	24.285714285714285
powerboat	10	28.5
pulley	6	38.5
puppet	6	40.166666666666664
purse	9	27.11111111111111
quilt	20	30.1
racquetball	6	17.166666666666668
raft	6	31.0
rafter	6	37.166666666666664
rag	11	47.63636363636363
raincoat	9	32.55555555555556
ratchet	10	29.5
razor	6	23.666666666666668
recliner	5	28.2
rib	6	27.333333333333332
rickshaw	6	32.166666666666664
robe	13	24.23076923076923
roof	8	35.0
rope	10	29.5
rowboat	15	33.53333333333333
rudder	6	27.333333333333332
rug	6	30.333333333333332
runway	6	33.833333333333336
sack	8	26.75
sackcloth	50	21.2
saddle	6	33.666666666666664
saddlebag	6	30.0
sailboat	6	32.0
saltshaker	6	11.666666666666666
sandal	6	37.833333333333336
sarong	11	21.0
satchel	11	28.727272727272727
satin	14	27.857142857142858
saucepan	6	27.0
scabbard	11	28.90909090909091
scaffold	11	27.636363636363637
scaffolding	6	29.5
scalpel	6	26.833333333333332
scarecrow	16	33.125
scarf	6	19.833333333333332
schoolbag	7	25.142857142857142
schoolbook	6	53.666666666666664
scissors	6	41.333333333333336
scooter	12	25.0
scrapbook	50	34.14
screen	6	30.5
sculpture	6	40.5
seesaw	9	24.77777777777778
sharkskin	8	34.75
shawl	12	29.416666666666668
shears	5	42.6
shelf	6	35.166666666666664
shell	6	32.166666666666664
shield	6	33.5
shingle	6	28.5
shirt	5	21.4
shoe	6	22.166666666666668
shoelace	6	40.0
shoestring	6	20.5
shorts	11	34.0
showerhead	6	30.5
shrapnel	12	23.666666666666668
sickle	9	43.333333333333336
sidewall	50	46.5
sieve	6	42.666666666666664
sifter	40	46.675
silk	8	17.875
sill	6	42.0
silverware	50	31.3
sink	11	29.272727272727273
sketchbook	5	33.6
ski	6	19.666666666666668
skillet	5	27.0
skirt	10	22.0
skullcap	37	20.64864864864865
slacks	5	26.0
slate	12	50.083333333333336
sledgehammer	6	43.0
sleeve	9	32.77777777777778
sleigh	21	30.047619047619047
slingshot	11	29.363636363636363
slipcover	12	56.333333333333336
slipper	8	23.875
smock	14	38.5
sneaker	6	42.5
snorkel	6	40.833333333333336
snowman	21	24.19047619047619
snowsuit	42	38.73809523809524
snuffbox	11	31.818181818181817
sock	6	22.833333333333332
sofa	6	23.5
softball	12	29.5
songbook	6	25.833333333333332
spacesuit	6	45.0
spandex	50	40.98
sparkler	14	30.285714285714285
spatula	6	31.333333333333332
spear	6	39.666666666666664
spectacles	50	20.8
spittoon	9	44.666666666666664
spool	6	29.5
spoon	6	39.166666666666664
squeegee	6	28.666666666666668
stagecoach	25	21.4
stair	14	27.0
stapler	5	22.0
statue	6	29.166666666666668
statuette	10	23.8
stencil	8	40.25
stethoscope	5	45.8
stiletto	8	26.0
stilt	47	40.361702127659576
stirrup	6	54.833333333333336
stocking	12	27.166666666666668
stool	15	27.333333333333332
storybook	50	24.02
stove	10	37.0
straightjacket	9	31.0
strap	15	24.133333333333333
string	10	38.5
strongbox	50	33.02
stucco	5	33.0
suit	9	32.77777777777778
suitcase	8	31.75
sundial	5	50.4
sundress	15	36.733333333333334
sunglass	5	28.6
sunglasses	5	37.2
sunlamp	10	26.8
sunroof	7	38.142857142857146
sunscreen	6	28.666666666666668
surfboard	6	22.666666666666668
suspender	10	29.8
swatch	12	24.25
sweater	6	26.166666666666668
sweatpants	11	26.181818181818183
sweatshirt	50	21.18
swimsuit	6	47.0
sword	8	27.75
syringe	6	24.666666666666668
tablecloth	6	25.333333333333332
tailcoat	13	21.692307692307693
tambourine	8	34.625
tape	6	36.333333333333336
tarmac	50	35.24
tarp	9	30.88888888888889
tassel	8	38.875
teakettle	12	40.0
teapot	6	25.333333333333332
telescope	6	50.5
terrycloth	6	21.333333333333332
textbook	5	21.2
thermos	13	27.615384615384617
thong	17	36.470588235294116
throne	6	19.666666666666668
thumbtack	5	28.6
tiara	10	17.7
tightrope	9	33.44444444444444
tights	19	29.94736842105263
tile	6	30.166666666666668
timber	50	61.84
tinfoil	8	23.625
tinsel	13	24.46153846153846
toboggan	6	34.5
toga	6	28.666666666666668
tomahawk	15	32.0
tongs	9	43.22222222222222
toolbox	6	31.166666666666668
toothbrush	6	33.166666666666664
toothpick	14	33.857142857142854
topcoat	50	20.32
torch	7	33.57142857142857
toupee	6	26.833333333333332
tourniquet	6	25.0
towel	6	24.5
towline	6	32.166666666666664
toy	26	27.076923076923077
trampoline	6	18.166666666666668
trapeze	8	34.875
tray	7	54.714285714285715
tricycle	5	25.6
trident	5	40.2
tripod	6	42.833333333333336
trombone	11	35.18181818181818
trouser	6	23.333333333333332
trumpet	9	28.666666666666668
trunks	10	47.2
tub	12	40.75
tuba	9	38.888888888888886
turban	9	29.22222222222222
turntable	5	26.6
turtleneck	15	19.733333333333334
tux	6	27.333333333333332
tuxedo	10	29.7
typewriter	8	26.0
ukulele	8	32.625
umbrella	5	48.0
undercoat	14	36.92857142857143
underpants	15	19.266666666666666
undershirt	11	30.181818181818183
underwear	50	27.4
unicycle	6	31.833333333333332
uniform	14	23.071428571428573
urinal	8	29.5
urn	6	36.166666666666664
utensil	50	49.6
vase	6	30.166666666666668
vent	6	48.333333333333336
vest	26	23.46153846153846
violin	10	31.2
visor	9	27.666666666666668
wagon	7	29.428571428571427
waistband	6	36.833333333333336
waistcoat	20	36.1
wallboard	50	33.1
wallet	4	25.0
wand	6	31.5
wardrobe	50	37.3
washbasin	5	24.4
washboard	10	26.3
washbowl	26	37.19230769230769
washcloth	10	36.0
washrag	16	29.3125
washstand	19	46.526315789473685
washtub	10	31.5
wastebasket	7	34.857142857142854
watchband	6	33.5
weeds	19	37.05263157894737
wheel	6	23.833333333333332
wheelbarrow	6	43.166666666666664
wheelchair	6	26.333333333333332
whetstone	7	32.42857142857143
wig	6	43.5
windowpane	25	53.6
windowsill	9	27.77777777777778
windscreen	6	29.333333333333332
windshield	6	43.166666666666664
wineglass	7	22.857142857142858
wire	6	17.333333333333332
wok	12	31.25
wool	5	24.8
workbench	8	26.125
workbook	5	34.6
workstation	50	42.38
wristband	13	22.307692307692307
wristwatch	14	21.857142857142858
xylophone	6	55.166666666666664
yearbook	10	40.9
yoke	9	32.888888888888886
zipper	6	27.166666666666668
airplane	5	37.6
airship	25	32.4
ambulance	6	29.833333333333332
ammunition	6	45.333333333333336
amplifier	13	21.076923076923077
antenna	7	20.857142857142858
audiotape	6	40.833333333333336
automobile	50	24.98
barometer	9	32.333333333333336
battleship	12	24.666666666666668
bazooka	10	28.0
beeper	13	40.0
blowtorch	5	50.2
boiler	6	33.333333333333336
bomb	18	35.111111111111114
boxcar	6	36.0
breathalyzer	6	43.833333333333336
bullet	6	56.0
burner	11	46.72727272727273
bus	5	22.4
